"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","hp"
"var","50%",0.3,"abun",2.16338997968597,7.88200442555596,24.0166975004582,0.000977517106549364,"g1","0.5"
"var","50%",0.4,"rich",1.04295299899194,1.8953250053458,3.22105919324291,0.000977517106549364,"g1","0.5"
"var","50%",0.4,"abun",2.20153176166911,8.96542176426564,29.3860252283419,0.000977517106549364,"g1","0.5"
"var","50%",0.5,"rich",1.00200419645039,1.95599788841031,3.52730079270528,0.000977517106549364,"g1","0.5"
"var","50%",0.5,"abun",2.30437247983871,10.4461768962304,33.0011331179741,0.000977517106549364,"g1","0.5"
"var","50%",0.6,"rich",0.979330381689883,1.94787657319159,3.71029409518573,0.000977517106549364,"g1","0.5"
"var","50%",0.6,"abun",2.41738023506232,11.6483167422715,34.2054442166117,0.000977517106549364,"g1","0.5"
"var","50%",0.7,"rich",0.984755888013196,1.88291702941716,3.85753738239247,0.000977517106549364,"g1","0.5"
"var","50%",0.7,"abun",2.49414969376222,12.7605784724768,33.8151643068793,0.000977517106549364,"g1","0.5"
"var","50%",0.8,"rich",0.953880093780547,1.87166269550342,4.05155448130499,0.000977517106549364,"g1","0.5"
"var","50%",0.8,"abun",2.56438964366447,14.1321165918255,30.9485762997923,0.000977517106549364,"g1","0.5"
"var","50%",0.9,"rich",0.933902087915445,1.86358242836632,4.20904117408969,0.000977517106549364,"g1","0.5"
"var","50%",0.9,"abun",2.67066074046921,15.4232878176931,26.2026820625611,0.000977517106549364,"g1","0.5"
"var","50%",1,"rich",0.917524857954545,1.85162884515518,4.36237580568793,0.000977517106549364,"g1","0.5"
"var","50%",1,"abun",2.76972408052297,16.8138899071359,19.8787496945259,0.000977517106549364,"g1","0.5"
"var","97.5%",0.1,"rich",1.28501375110734,2.18280600867546,1.17423975134409,0.000977517106549364,"g1","0.5"
"var","97.5%",0.1,"abun",2.12646677682826,5.97085357099218,8.0880067051564,0.000977517106549364,"g1","0.5"
"var","97.5%",0.2,"rich",1.2942486148659,2.13208871731427,2.30737338098729,0.000977517106549364,"g1","0.5"
"var","97.5%",0.2,"abun",2.30898447046066,7.46239138963985,18.1766355989965,0.000977517106549364,"g1","0.5"
"var","97.5%",0.3,"rich",1.31051900048876,2.07043507148094,3.12049387524438,0.000977517106549364,"g1","0.5"
"var","97.5%",0.3,"abun",2.53808899224096,8.94779390426442,25.7317448680352,0.000977517106549364,"g1","0.5"
"var","97.5%",0.4,"rich",1.21835517473118,2.23915669580126,3.67855342741935,0.000977517106549364,"g1","0.5"
"var","97.5%",0.4,"abun",2.53928618817968,10.0885055825391,32.357301188867,0.000977517106549364,"g1","0.5"
"var","97.5%",0.5,"rich",1.15936628921524,2.23248020146017,4.02290270554588,0.000977517106549364,"g1","0.5"
"var","97.5%",0.5,"abun",2.59692998533724,11.5820812713832,35.342755801144,0.000977517106549364,"g1","0.5"
"var","97.5%",0.6,"rich",1.14727125717864,2.19931514139632,4.31645970796676,0.000977517106549364,"g1","0.5"
"var","97.5%",0.6,"abun",2.82524177797379,13.5843954285802,36.6988691969468,0.000977517106549364,"g1","0.5"
"var","97.5%",0.7,"rich",1.13409398769703,2.23065031616569,4.5305896986498,0.000977517106549364,"g1","0.5"
"var","97.5%",0.7,"abun",2.94789664379429,14.2853246425953,37.4785056016312,0.000977517106549364,"g1","0.5"
"var","97.5%",0.8,"rich",1.11245711430077,2.19909515231702,4.67868525858382,0.000977517106549364,"g1","0.5"
"var","97.5%",0.8,"abun",3.08407756846438,16.0699078661489,33.874316119868,0.000977517106549364,"g1","0.5"
"var","97.5%",0.9,"rich",1.08789625717864,2.14394500225287,4.80416704850929,0.000977517106549364,"g1","0.5"
"var","97.5%",0.9,"abun",3.20650621639785,17.2851417399804,28.1743706994975,0.000977517106549364,"g1","0.5"
"var","97.5%",1,"rich",1.07251382270283,2.13847610906189,5.05883125610948,0.000977517106549364,"g1","0.5"
