"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","hp"
"var","97.5%",0.9,9.67914101161565,55.6999927688554,10.5823692045836,66.4512313231229,0.000977517106549364,"g1","0.7"
"var","97.5%",1,10.4981528124618,69.3387891006843,10.8672565419187,70.4025301130636,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.1,0.292236328125,0.3335693359375,5.064990234375,9.2621826171875,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.2,0.5266357421875,0.6654052734375,6.939990234375,18.6893798828125,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.3,0.73583984375,0.9818603515625,7.9198974609375,28.005224609375,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.4,0.8776611328125,1.32021484375,8.6337646484375,37.47451171875,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.5,1.0248779296875,1.647607421875,9.097412109375,46.9331787109375,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.6,1.1826171875,1.9425537109375,9.4,56.28056640625,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.7,1.2722412109375,2.2906005859375,9.6703857421875,65.7013916015625,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.8,1.36455078125,2.5972412109375,9.8805419921875,74.955419921875,0.000977517106549364,"g1","0.8"
"mean","2.5%",0.9,1.480078125,2.8904296875,10.04697265625,84.3642578125,0.000977517106549364,"g1","0.8"
"mean","2.5%",1,1.55498046875,3.248876953125,10.198779296875,93.85576171875,0.000977517106549364,"g1","0.8"
"mean","50%",0.1,0.42041015625,0.478515625,5.3681640625,9.5166015625,0.000977517106549364,"g1","0.8"
"mean","50%",0.2,0.7626953125,0.95947265625,7.5302734375,19.01123046875,0.000977517106549364,"g1","0.8"
"mean","50%",0.3,1.03759765625,1.4375,8.65576171875,28.58740234375,0.000977517106549364,"g1","0.8"
"mean","50%",0.4,1.25,1.8662109375,9.412109375,38.0927734375,0.000977517106549364,"g1","0.8"
"mean","50%",0.5,1.451171875,2.326171875,9.90673828125,47.70361328125,0.000977517106549364,"g1","0.8"
"mean","50%",0.6,1.63427734375,2.7900390625,10.30224609375,57.11767578125,0.000977517106549364,"g1","0.8"
"mean","50%",0.7,1.78369140625,3.2529296875,10.56494140625,66.72021484375,0.000977517106549364,"g1","0.8"
"mean","50%",0.8,1.9248046875,3.7265625,10.79931640625,76.15185546875,0.000977517106549364,"g1","0.8"
"mean","50%",0.9,2.037109375,4.18115234375,10.98046875,85.7373046875,0.000977517106549364,"g1","0.8"
"mean","50%",1,2.15283203125,4.6494140625,11.13916015625,95.32568359375,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.1,0.5517333984375,0.6181640625,5.736962890625,9.728955078125,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.2,1.008251953125,1.240869140625,8.008935546875,19.4612548828125,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.3,1.31650390625,1.847607421875,9.31259765625,29.073193359375,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.4,1.657958984375,2.46005859375,10.1490234375,38.6223876953125,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.5,1.932568359375,3.0616943359375,10.6810791015625,48.2541259765625,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.6,2.1292236328125,3.7147705078125,11.1317138671875,58.037939453125,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.7,2.3550537109375,4.2677734375,11.40703125,67.631640625,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.8,2.52509765625,4.8632568359375,11.69912109375,77.514892578125,0.000977517106549364,"g1","0.8"
"mean","97.5%",0.9,2.708154296875,5.5091796875,11.938916015625,87.1015869140625,0.000977517106549364,"g1","0.8"
"mean","97.5%",1,2.8487060546875,6.1186767578125,12.0982421875,96.7369384765625,0.000977517106549364,"g1","0.8"
"var","2.5%",0.1,0.558540673875855,0.711291635164651,2.78191166166453,8.37816960399102,0.000977517106549364,"g1","0.8"
"var","2.5%",0.2,1.27871382518481,2.30336544152462,4.09547385237201,15.6107653844391,0.000977517106549364,"g1","0.8"
"var","2.5%",0.3,2.30300739247312,4.59150218795821,4.90698724263807,23.0677484506736,0.000977517106549364,"g1","0.8"
"var","2.5%",0.4,2.83672077853892,7.51850091928611,5.43245414070137,28.5957606639098,0.000977517106549364,"g1","0.8"
"var","2.5%",0.5,3.69462200921768,11.253625524079,6.07251019519795,33.8275449810606,0.000977517106549364,"g1","0.8"
"var","2.5%",0.6,4.67995070889082,16.0281250954607,6.36092451735093,37.7841600226051,0.000977517106549364,"g1","0.8"
"var","2.5%",0.7,5.246716272796,21.7926121089932,6.57851820243768,41.7224357358871,0.000977517106549364,"g1","0.8"
"var","2.5%",0.8,5.83720528909305,26.3422776864537,6.82182087380865,43.6213325925587,0.000977517106549364,"g1","0.8"
"var","2.5%",0.9,6.64012707722385,33.5291197954851,6.91775918999725,42.3162451362796,0.000977517106549364,"g1","0.8"
"var","2.5%",1,7.20013428927633,41.526705189814,7.18112239296951,42.223350630804,0.000977517106549364,"g1","0.8"
"var","50%",0.1,0.733786485062317,0.98533628879521,3.10247414925464,9.10498524178275,0.000977517106549364,"g1","0.8"
"var","50%",0.2,1.68701792369257,3.05410471270161,4.60651404417155,17.3771450009164,0.000977517106549364,"g1","0.8"
"var","50%",0.3,2.76117605617669,6.20416886226173,5.66211271612292,25.2068341237476,0.000977517106549364,"g1","0.8"
"var","50%",0.4,3.72706605495479,9.79519298326002,6.53410761470552,31.8309458623534,0.000977517106549364,"g1","0.8"
"var","50%",0.5,4.85256865530303,15.4351779195687,7.15056770451491,37.7168116714015,0.000977517106549364,"g1","0.8"
"var","50%",0.6,5.70648044202102,21.3790260531219,7.6068543614064,43.3400361032197,0.000977517106549364,"g1","0.8"
"var","50%",0.7,6.55234059979839,28.6397806505071,7.97771089167889,48.1022073367241,0.000977517106549364,"g1","0.8"
"var","50%",0.8,7.39926609848485,36.846224340176,8.18495979197214,51.7784868913429,0.000977517106549364,"g1","0.8"
"var","50%",0.9,8.10134866813294,46.2550384133675,8.47871943349829,54.6160782471896,0.000977517106549364,"g1","0.8"
"var","50%",1,8.79276255498534,56.8604494096713,8.73094366675831,57.4428973454301,0.000977517106549364,"g1","0.8"
